Cumulative Rewards, Average Rewards, No Timesteps
-792.9817186449809, -12.199718748384322, 65
-689.222522787792, -12.531318596141672, 55
-1359.400913664705, -13.071162631391395, 104
-769.930137465791, -13.748752454746267, 56
-748.4278203718192, -12.26930853068556, 61
-1893.709332129228, -15.029439143882762, 126
-1401.5044257310522, -13.47600409356781, 104
-2200.9052747665246, -15.284064408100866, 144
-1064.5707699526702, -12.524361999443178, 85
-789.3218722829372, -12.52891860766567, 63
-796.1203476893603, -13.051153240809185, 61
-778.4262763614264, -12.162910568147288, 64
-998.1385796394609, -10.849332387385445, 92
-1261.171336741265, -12.12664746866601, 104
-950.1402812705919, -12.18128565731528, 78
-768.9768550771389, -12.205981826621253, 63
-1275.2152977875373, -11.699222915481993, 109
-1988.3964950018421, -14.950349586480016, 133
-1254.4419302265735, -12.932391033263645, 97
-1548.216594710887, -13.462752997485973, 115
-768.7404613259969, -12.812341022099949, 60
-855.3982981836698, -12.21997568833814, 70
-771.7443907381434, -12.249910964097513, 63
-1610.9753020435676, -13.887718121065237, 116
-1767.1273264706163, -14.484650216972264, 122
-758.3229024532976, -14.043016712098105, 54
-752.8577071879522, -13.44388762835629, 56
-1486.4946339524097, -13.15481976949035, 113
-1589.6516845898377, -14.193318612409266, 112
-961.5860029421884, -12.171974720787196, 79
-736.712969153544, -12.70194774402662, 58
-1433.3567633225837, -13.522233616250789, 106
-813.0335519252772, -12.50820849115811, 65
-897.167576687581, -12.289966803939466, 73
-938.2785865671319, -10.78481133985209, 87
-1098.7743793067366, -11.814778272115447, 93
-1023.0557024833071, -11.242370356959418, 91
-1218.2182382655988, -12.689773315266654, 96
-1184.3536591979282, -13.159485102199202, 90
-2018.0222187428112, -15.288047111687964, 132
-929.2204830943508, -10.324672034381676, 90
-1591.0090501138027, -13.598367949690621, 117
-715.7666286006831, -12.557309273696195, 57
-1115.1445950410134, -11.990802097215198, 93
-937.3438983049359, -10.531953913538606, 89
-859.5571663221535, -12.279388090316479, 70
-771.7586227829082, -13.539624961103653, 57
-1256.0784013187913, -12.077676935757609, 104
-1079.1839677532948, -12.847428187539224, 84
-788.1651036542906, -12.9207394041687, 61
-798.0926338473801, -13.301543897456334, 60
-1237.625753251171, -13.16623141756565, 94
-728.7191406117306, -12.784546326521589, 57
-738.6844414042085, -13.937442290645444, 53
-1055.7798516042858, -12.568807757193879, 84
-1807.7484255121362, -13.799606301619361, 131
-1434.1938716622549, -13.279572885761619, 108
-939.2366526906258, -12.041495547315716, 78
-1199.037109242995, -13.32263454714439, 90
-913.9314933614539, -12.185753244819386, 75
-1489.6247962428286, -13.542043602207531, 110
-1313.9622249600136, -12.39587004679258, 106
-822.0911167159426, -11.91436401037598, 69
-881.1078908676554, -9.900088661434332, 89
-1038.045739910844, -11.161782149578968, 93
-853.778143868831, -12.196830626697585, 70
-710.5651826935975, -13.40689023950184, 53
-754.9975307311556, -10.066633743082075, 75
-815.8104901781787, -11.654435573973982, 70
-739.4988633547686, -12.32498105591281, 60
-1071.3553203920585, -12.31442897002366, 87
-829.4154874600291, -10.498930221013026, 79
-770.8457362013575, -12.432995745183185, 62
-1325.9102634993267, -12.276946884253025, 108
-830.6968196706624, -11.867097423866605, 70
-1062.2633395241517, -12.79835348824279, 83
-723.2568898228545, -13.393646107830639, 54
-878.7386655706691, -10.587212838200832, 83
-1183.0120316057328, -13.144578128952586, 90
-1885.1008891147235, -14.96111816757717, 126
-1128.3070672714528, -11.397041083550027, 99
-758.68747491975, -13.310306577539473, 57
-861.7800859659014, -10.382892601998812, 83
-811.4332547358464, -12.29444325357343, 66
-1429.640836271093, -13.487177700670689, 106
-1537.2650949349234, -13.604115884379853, 113
-1137.9240694232099, -12.930955334354657, 88
-1418.452041378576, -13.771379042510446, 103
-1156.225529867256, -12.991298088396135, 89
-2368.7627512737245, -16.005153724822463, 148
-1368.018157439594, -13.818365226662566, 99
-1808.4975678061487, -14.3531553000488, 126
-1539.8145606952821, -14.126739088947543, 109
-1304.950986078594, -13.453102949263856, 97
-1284.3181601024628, -13.378314167733988, 96
-760.9451805886416, -13.119744492907614, 58
-810.4167769196125, -12.863758363803374, 63
-744.4989323963653, -12.204900531087954, 61
-1340.1048900066403, -12.762903714348955, 105
-1830.1229617381657, -14.640983693905326, 125
-1548.99888244752, -14.081808022250181, 110
-1450.073270937481, -13.810221627976011, 105
-864.2560307469333, -10.803200384336666, 80
-1382.1693847663946, -13.96130691683227, 99
-997.6630065217798, -10.844163114367172, 92
-1332.0979899897566, -13.732968968966562, 97
-1214.082927341706, -13.341570630128636, 91
-1212.235767372806, -12.244805731038445, 99
-1158.1542130215516, -13.16084332979036, 88
-1730.8316955019848, -14.304394177702353, 121
-1742.7446408435758, -13.831306673361713, 126
-1001.7364685469943, -11.255465938730273, 89
-1182.0006949884053, -13.133341055426724, 90
-1245.4337845091877, -11.63956807952512, 107
-1207.505825745048, -13.269294788407121, 91
-725.4185113279934, -12.953901987999883, 56
-1632.801183553699, -14.198271161336514, 115
-1259.7250487095264, -12.112740852976215, 104
-1349.85076373308, -13.4985076373308, 100
-838.0043098808857, -11.802877603956135, 71
-1181.1885058201733, -12.700951675485735, 93
-849.2871136396793, -12.308508893328685, 69
-1363.5695260949515, -13.635695260949515, 100
-734.4086164852682, -13.114439580094075, 56
-949.5827903980761, -11.723244325902174, 81
-1763.9979766384595, -13.999983941575076, 126
-1258.0372636067732, -13.674318082682317, 92
-1289.118682159839, -13.56967033852462, 95
-1891.7742515071186, -14.441024820665028, 131
-1755.0632916327368, -14.385764685514236, 122
-1185.2335374661152, -13.16926152740128, 90
-1002.7090630350594, -11.266393966686062, 89
-1192.9819772716824, -13.255355303018693, 90
-1902.2700119095039, -14.632846245457722, 130
-729.2907799732393, -13.505384814319246, 54
-956.7444392711291, -12.110689104697837, 79
-780.9179305684291, -12.395522707435383, 63
-1512.0986470715204, -13.746351337013822, 110
-1978.6357609304584, -14.548792359782782, 136
-730.3405745099593, -12.378653805253547, 59
-991.480384487091, -12.393504806088638, 80
-1657.936913025133, -13.701957958885396, 121
-1637.4752119407065, -13.876908575768699, 118
-1117.2198339024585, -12.841607286235154, 87
-1405.6810472678503, -13.647388808425731, 103
-1416.8090854131942, -13.623164282819175, 104
-909.4511813684406, -11.659630530364623, 78
-958.6813730184158, -12.135207253397668, 79
-2146.496437773806, -15.116172096998634, 142
-1058.8901256982022, -12.605834829740502, 84
-789.9390485405185, -12.740952395814814, 62
-1050.1456830344455, -12.806654671151774, 82
-1091.4944280944096, -8.332018535071828, 131
-1311.2380500480524, -12.855275000471101, 102
-831.7066305067439, -9.90126941079457, 84
-904.4508457187088, -12.059344609582784, 75
-1934.0380457315646, -14.87721573639665, 130
-838.9894621811947, -10.108306773267406, 83
-1374.463232191329, -13.883466991831607, 99
-1478.4828174722902, -13.200739441716877, 112
-1212.8844181043637, -13.183526283743083, 92
-706.5025163576408, -12.6161163635293, 56
-750.1962932658969, -13.89252394936846, 54
-1198.9371354915957, -11.754285642074468, 102
-1092.7681427929951, -12.706606311546455, 86
-717.1525592332663, -13.039137440604842, 55
-941.180521668735, -11.204530019865892, 84
-1118.1360077497543, -12.706090997156299, 88
-766.4035026782177, -13.21385349445203, 58
-1610.7320005990837, -14.254265492027288, 113
-838.7673113879014, -12.51891509534181, 67
-765.2933676016735, -13.426199431608307, 57
-1939.230578451818, -14.917158295783215, 130
